1870,289.34,,,,,,
1871,289.38,,,,,,
1872,289.42,,,,,,
1873,289.46,,,,,,
1874,289.50,,,,,,
1875,289.70,,,,,,
1876,289.90,,,,,,
1877,290.10,,,,,,
1878,290.30,,,,,,
1879,290.52,,,,,,
1880,290.74,,,,,,
1881,290.97,,,,,,
1882,291.19,,,,,,
1883,291.41,,,,,,
1884,291.63,,,,,,
1885,291.86,,,,,,
1886,292.08,,,,,,
1887,292.30,,,,,,
1888,292.59,,,,,,
1889,292.88,,,,,,
1890,293.18,,,,,,
1891,293.47,,,,,,
1892,293.76,,,,,,
1893,294.05,,,,,,
1894,294.34,,,,,,
1895,294.63,,,,,,
1896,294.93,,,,,,
1897,295.22,,,,,,
1898,295.51,,,,,,
1899,295.80,,,,,,
1900,295.55,,,,,,
1901,295.30,,,,,,
1902,295.05,,,,,,
1903,294.80,,,,,,
1904,295.85,,,,,,
1905,296.90,,,,,,
1906,297.48,,,,,,
1907,298.05,,,,,,
1908,298.63,,,,,,
1909,299.20,,,,,,
1910,299.42,,,,,,
1911,299.63,,,,,,
1912,299.85,,,,,,
1913,300.07,,,,,,
1914,300.28,,,,,,
1915,300.50,,,,,,
1916,300.68,,,,,,
1917,300.87,,,,,,
1918,301.05,,,,,,
1919,301.23,,,,,,
1920,301.42,,,,,,
1921,301.60,,,,,,
1922,302.25,,,,,,
1923,302.90,,,,,,
1924,303.55,,,,,,
1925,304.20,,,,,,
1926,304.85,,,,,,
1927,305.50,,,,,,
1928,305.64,,,,,,
1929,305.78,,,,,,
1930,305.91,,,,,,
1931,306.05,,,,,,
1932,306.19,,,,,,
1933,306.33,,,,,,
1934,306.46,,,,,,
1935,306.60,,,,,,
1936,306.76,,,,,,
1937,306.93,,,,,,
1938,307.09,,,,,,
1939,307.25,,,,,,
1940,307.41,,,,,,
1941,307.58,,,,,,
1942,307.74,,,,,,
1943,307.90,,,,,,
1944,308.38,,,,,,
1945,308.86,,,,,,
1946,309.34,,,,,,
1947,309.82,,,,,,
1948,310.30,,,,,,
1949,310.78,,,,,,
1950,311.26,,,,,,
1951,311.74,,,,,,
1952,312.22,,,,,,
1953,312.70,,,,,,
1954,313.22,,,,,,
1955,313.73,,,,,,
1956,314.25,,,,,,
1957,314.77,,,,,,
1958,315.28,,,,,,
1959,315.97,,,,,,
1960,316.91,,,,,,
1961,317.64,,,,,,
1962,318.45,,,,,,
1963,318.99,,,,,,
1964,319.62,,,,,,
1965,320.04,,,,,,
1966,321.38,,,,,,
1967,322.16,,,,,,
1968,323.04,,,,,,
1969,324.62,,,,,,
1970,325.68,,,,,,
1971,326.32,,,,,,
1972,327.45,,,,,,
1973,329.68,,,,,,
1974,330.18,,,,,,
1975,331.08,,,,,,
1976,332.05,,,,,,
1977,333.78,,,,,,
1978,335.41,,,,,,
1979,336.78,,,,,,
1980,338.68,,,,,,
1981,340.10,,,,,,
1982,341.44,,,,,,
1983,343.03,,,,,,
1984,344.58,,,,,,
1985,346.04,,,,,,
1986,347.39,,,,,,
1987,349.16,,,,,,
1988,351.56,,,,,,
1989,353.07,,,,,,
1990,354.35,,,,,,
1991,355.57,,,,,,
1992,356.38,,,,,,
1993,357.07,,,,,,
1994,358.82,,,,,,
1995,360.80,,,,,,
1996,362.59,,,,,,
1997,363.71,,,,,,
1998,366.65,,,,,,
1999,368.33,,,,,,
2000,369.52,,,,,,
2001,371.13,,,,,,
2002,373.22,,,,,,
2003,375.77,,,,,,
2004,377.49,,,,,,
2005,379.80,,,,,,
2006,381.90,,,,,,
2007,383.76,,,,,,
2008,385.59,,,,,,
2009,387.37,,,,,,
2010,389.85,,,,,,
2011,391.63,,,,,,
2012,393.82,,,,,,
2013,396.48,,,,,,
2014,398.55,,,,,,
