1914,51.5,53.93,58.4,58.3,56.19,56.6,57.03,58.19,60.77,62.05,58.98,48.69,56.72
1915,50.69,52.82,57.89,57.07,57.6,58.9,60.26,61.16,62.4,61.26,56.13,52.11,57.36
1916,46.98,55.86,56.56,57.58,55.79,57.42,60,58.58,62.18,56.94,54.43,48.87,55.93
1917,47.58,52.2,51.68,55.1,53.98,58.6,59.82,57.48,63.98,62.29,58.67,54.58,56.33
1918,52.65,51.88,54.87,57.25,54.68,59.25,58.82,60.82,62.27,64.03,55.6,50.15,56.85
1919,51.21,51.59,52.61,55.98,57.15,57.78,57.06,58.32,61.98,60.71,56.02,48.82,55.77
1920,52.21,52.83,52.48,54.97,55.76,60.2,57.85,60.11,60.42,60.03,55.35,50.98,56.1
1921,49.61,52.91,54.55,54.88,54.31,61.42,59.79,59.55,63.28,61.48,57.78,52.92,56.87
1922,46.74,50.21,52.34,53.55,58.02,60.03,60.16,60.4,63.32,61.31,54.3,50.6,55.91
1923,48.1,52.18,56.74,56.07,57.21,57.18,60.81,61.69,63.95,62.5,60.8,51.06,57.36
1924,50.21,57.05,54.5,57.47,59.11,59.82,59.05,59.13,62.45,59.48,56.7,47.85,56.9
1925,51.42,55.18,55.39,56.95,58.98,60.72,61.21,61.15,62.72,62.19,56.62,52.71,57.94
1926,47.9,56.02,60.65,61.62,61.06,59.15,61.1,60.84,61.28,63.45,60.87,51.5,58.79
1927,51.31,54.02,54.23,55.5,58.19,59.83,58.66,59.79,62.38,62.48,58.12,51.82,57.19
1928,50.44,55.1,58.24,57.73,58.92,60.52,58.68,58.45,61.2,59.52,56.35,49.63,57.06
1929,47.56,51.77,54.24,53.35,56.5,63,61.55,61.11,61.42,63.48,59.7,54.24,57.33
1930,49.68,56.64,57.61,59.23,56.08,59.93,58.65,61.52,62.4,63.19,58.08,52.1,57.93
1931,52.27,56.7,59.02,59.02,61.85,62.02,62.31,60.45,62.67,59.73,54.45,49.24,58.31
1932,49.32,51.36,57.1,55.95,58.4,59.17,59.73,60.97,62.97,62.15,60.67,47.45,57.1
1933,47.02,51.21,55.42,55.47,55.15,57.62,59.5,59.77,61.13,62.34,60.03,50.47,56.26
1934,51.84,55.62,60.65,58.97,60.61,60.93,59.94,60.9,63.65,61.76,58.5,52.92,58.86
1935,50.77,54.12,52.63,58.52,58.68,61.32,60.16,59.97,60.53,60.97,54.87,52.85,57.12
1936,53.85,53.41,57.47,58.92,61.53,61.68,59.48,59.31,63.02,62.21,58.03,51.53,58.37
1937,43.58,49.89,54.81,54.52,57.15,61.37,59.29,58.9,61.43,63.37,58.28,54.71,56.44
1938,51.45,53.07,52.82,54.92,56.6,57.45,58.85,60.08,61.18,61.56,56.78,53.61,56.53
1939,51.97,51.23,52.74,55.75,56.97,57.88,58.98,60.69,66.17,62.97,59.15,55.32,57.49
1940,52.61,55.41,57.4,57.77,58.02,59,60.16,60,65.08,62.29,57.03,55.45,58.35
1941,53.97,55.36,58.39,55.82,61.18,60.03,60.16,61.21,63.48,60.82,58.4,53.45,58.52
1942,51.11,53.36,55.26,55.58,56.85,58.58,59.73,58.47,60.27,60.9,56.02,52.08,56.52
1943,51.89,54.75,55.61,55.58,58.61,57.35,59.05,59.84,63.45,61.32,59.23,53.58,57.52
1944,51.79,51.62,55.77,53.2,56.79,57.77,57.32,58.87,60.65,61.45,55.75,54.19,56.27
1945,50.19,54.34,51.82,55.9,55.39,61.3,59.55,58.65,62.52,61.56,56.38,52.74,56.7
